date,close,volume,symbol,resolved_symbol,provider
2025-02-10,28.759183883666992,101200,DMLP,DMLP,yfinance
2025-02-11,28.822174072265625,166600,DMLP,DMLP,yfinance
2025-02-12,28.71419334411621,110600,DMLP,DMLP,yfinance
2025-02-13,28.81317710876465,130400,DMLP,DMLP,yfinance
2025-02-14,28.74118995666504,95900,DMLP,DMLP,yfinance
2025-02-18,28.77718162536621,130200,DMLP,DMLP,yfinance
2025-02-19,29.173112869262695,153600,DMLP,DMLP,yfinance
2025-02-20,28.87616539001465,127900,DMLP,DMLP,yfinance
2025-02-21,28.08429718017578,174700,DMLP,DMLP,yfinance
2025-02-24,27.94931983947754,133800,DMLP,DMLP,yfinance
2025-02-25,27.5623836517334,144700,DMLP,DMLP,yfinance
2025-02-26,27.895328521728516,303100,DMLP,DMLP,yfinance
2025-02-27,27.94931983947754,238000,DMLP,DMLP,yfinance
2025-02-28,27.364418029785156,317100,DMLP,DMLP,yfinance
2025-03-03,26.248607635498047,399600,DMLP,DMLP,yfinance
2025-03-04,26.455568313598633,242000,DMLP,DMLP,yfinance
2025-03-05,26.89649772644043,131800,DMLP,DMLP,yfinance
2025-03-06,26.653539657592773,77200,DMLP,DMLP,yfinance
2025-03-07,27.148456573486328,104700,DMLP,DMLP,yfinance
2025-03-10,26.617542266845703,99200,DMLP,DMLP,yfinance
2025-03-11,26.986482620239258,56700,DMLP,DMLP,yfinance
2025-03-12,26.860502243041992,71800,DMLP,DMLP,yfinance
2025-03-13,26.671533584594727,39600,DMLP,DMLP,yfinance
2025-03-14,26.734525680541992,132900,DMLP,DMLP,yfinance
2025-03-17,26.797513961791992,267300,DMLP,DMLP,yfinance
2025-03-18,26.87849998474121,102600,DMLP,DMLP,yfinance
2025-03-19,26.950490951538086,71300,DMLP,DMLP,yfinance
2025-03-20,27.19344711303711,79300,DMLP,DMLP,yfinance
2025-03-21,27.10346221923828,145600,DMLP,DMLP,yfinance
2025-03-24,27.175451278686523,81200,DMLP,DMLP,yfinance
2025-03-25,27.157455444335938,47400,DMLP,DMLP,yfinance
2025-03-26,26.89649772644043,87600,DMLP,DMLP,yfinance
2025-03-27,27.148456573486328,40800,DMLP,DMLP,yfinance
2025-03-28,27.031476974487305,39700,DMLP,DMLP,yfinance
2025-03-31,27.067468643188477,49600,DMLP,DMLP,yfinance
2025-04-01,27.256437301635742,34900,DMLP,DMLP,yfinance
2025-04-02,27.32842254638672,38700,DMLP,DMLP,yfinance
2025-04-03,26.68053436279297,125200,DMLP,DMLP,yfinance
2025-04-04,25.312761306762695,299000,DMLP,DMLP,yfinance
2025-04-07,24.41291046142578,276000,DMLP,DMLP,yfinance
2025-04-08,24.106966018676758,161300,DMLP,DMLP,yfinance
2025-04-09,25.49273109436035,259600,DMLP,DMLP,yfinance
2025-04-10,24.502897262573242,107300,DMLP,DMLP,yfinance
2025-04-11,25.330759048461914,52200,DMLP,DMLP,yfinance
2025-04-14,25.0338077545166,85000,DMLP,DMLP,yfinance
2025-04-15,25.240774154663086,54100,DMLP,DMLP,yfinance
2025-04-16,25.798683166503906,41400,DMLP,DMLP,yfinance
2025-04-17,26.293596267700195,43900,DMLP,DMLP,yfinance
2025-04-21,26.005645751953125,56900,DMLP,DMLP,yfinance
2025-04-22,26.275604248046875,61800,DMLP,DMLP,yfinance
2025-04-23,26.392580032348633,81100,DMLP,DMLP,yfinance
2025-04-24,26.329593658447266,50100,DMLP,DMLP,yfinance
